userId,userSessionId,teamLevel,platformType,count_gameclicks,gameclicks_category,count_hits,hits_percent,hits_percent_category,count_buyId,avg_price,total_buy
1756,5685,1,android,58,LOW,6,10,MEDIUM,0,0,0
1629,5686,1,iphone,45,LOW,6,13,MEDIUM,0,0,0
1315,5687,1,windows,188,MEDIUM,21,11,MEDIUM,0,0,0
852,5688,1,android,31,LOW,5,16,MEDIUM,0,0,0
982,5689,1,iphone,96,LOW,14,15,MEDIUM,0,0,0
2120,5690,1,iphone,59,LOW,3,5,LOW,0,0,0
344,5691,1,iphone,84,LOW,16,19,MEDIUM,0,0,0
489,5692,1,iphone,82,LOW,8,10,MEDIUM,0,0,0
411,5693,1,iphone,53,LOW,5,9,LOW,0,0,0
2229,5694,1,iphone,63,LOW,5,8,LOW,0,0,0
1924,5695,1,iphone,49,LOW,5,10,MEDIUM,0,0,0
970,5696,1,iphone,34,LOW,2,6,LOW,0,0,0
2199,5697,1,android,51,LOW,6,12,MEDIUM,2,2.5,5
1143,5698,1,android,47,LOW,5,11,MEDIUM,2,2,4
515,5699,1,iphone,73,LOW,9,12,MEDIUM,0,0,0
1353,5700,1,android,132,MEDIUM,11,8,LOW,0,0,0
2333,5701,1,android,283,MEDIUM,28,10,MEDIUM,0,0,0
355,5702,1,iphone,114,MEDIUM,14,12,MEDIUM,0,0,0
1560,5703,1,android,101,MEDIUM,15,15,MEDIUM,0,0,0
1928,5704,1,android,85,LOW,9,11,MEDIUM,0,0,0
1874,5705,1,mac,45,LOW,3,7,LOW,0,0,0
1652,5706,1,android,46,LOW,7,15,MEDIUM,1,1,1
867,5707,1,iphone,77,LOW,8,10,MEDIUM,0,0,0
1175,5708,1,iphone,116,MEDIUM,11,9,LOW,0,0,0
2222,5709,1,iphone,41,LOW,6,15,MEDIUM,1,20,20
1082,5710,1,iphone,39,LOW,4,10,MEDIUM,0,0,0
128,5711,1,iphone,38,LOW,3,8,LOW,0,0,0
744,5712,1,windows,94,LOW,4,4,LOW,0,0,0
487,5713,1,iphone,78,LOW,8,10,MEDIUM,0,0,0
1591,5714,1,iphone,62,LOW,10,16,MEDIUM,0,0,0
1972,5715,1,mac,284,MEDIUM,29,10,MEDIUM,0,0,0
374,5716,1,android,47,LOW,7,15,MEDIUM,1,3,3
321,5717,1,windows,63,LOW,5,8,LOW,0,0,0
673,5718,1,iphone,126,MEDIUM,18,14,MEDIUM,0,0,0
1191,5719,1,iphone,55,LOW,8,15,MEDIUM,0,0,0
1535,5720,1,iphone,76,LOW,7,9,LOW,1,20,20
21,5721,1,android,52,LOW,2,4,LOW,1,3,3
2053,5722,1,android,68,LOW,4,6,LOW,0,0,0
309,5723,1,windows,73,LOW,9,12,MEDIUM,0,0,0
1260,5724,1,iphone,43,LOW,3,7,LOW,0,0,0
343,5725,1,windows,68,LOW,2,3,LOW,0,0,0
217,5726,1,mac,39,LOW,2,5,LOW,0,0,0
1205,5727,1,android,25,LOW,3,12,MEDIUM,0,0,0
751,5728,1,android,59,LOW,7,12,MEDIUM,0,0,0
1173,5729,1,iphone,41,LOW,3,7,LOW,0,0,0
1214,5730,1,linux,72,LOW,11,15,MEDIUM,0,0,0
2004,5731,1,iphone,39,LOW,4,10,MEDIUM,0,0,0
1485,5732,1,iphone,81,LOW,14,17,MEDIUM,0,0,0
292,5733,1,windows,327,MEDIUM,27,8,LOW,0,0,0
127,5734,1,iphone,52,LOW,4,8,LOW,0,0,0
1404,5735,1,mac,85,LOW,6,7,LOW,0,0,0
2161,5736,1,android,71,LOW,9,13,MEDIUM,0,0,0
1387,5737,1,android,75,LOW,13,17,MEDIUM,0,0,0
422,5738,1,android,66,LOW,2,3,LOW,0,0,0
1362,5739,1,iphone,114,MEDIUM,9,8,LOW,0,0,0
28,5740,1,iphone,27,LOW,3,11,MEDIUM,0,0,0
1042,5741,1,android,44,LOW,3,7,LOW,0,0,0
2243,5742,1,android,61,LOW,9,15,MEDIUM,0,0,0
1059,5743,1,android,45,LOW,2,4,LOW,0,0,0
1368,5744,1,iphone,64,LOW,9,14,MEDIUM,0,0,0
25,5745,1,mac,63,LOW,10,16,MEDIUM,0,0,0
1072,5746,1,iphone,123,MEDIUM,19,15,MEDIUM,0,0,0
239,5747,1,iphone,68,LOW,11,16,MEDIUM,0,0,0
600,5748,1,iphone,93,LOW,11,12,MEDIUM,0,0,0
2379,5749,1,android,62,LOW,9,15,MEDIUM,1,3,3
2283,5750,1,android,63,LOW,5,8,LOW,0,0,0
30,5751,1,iphone,40,LOW,3,8,LOW,0,0,0
1351,5752,1,iphone,66,LOW,5,8,LOW,0,0,0
1669,5753,1,iphone,106,MEDIUM,10,9,LOW,0,0,0
155,5754,1,android,36,LOW,4,11,MEDIUM,0,0,0
1349,5755,1,iphone,37,LOW,6,16,MEDIUM,0,0,0
212,5756,1,android,107,MEDIUM,12,11,MEDIUM,0,0,0
899,5757,1,windows,347,MEDIUM,34,10,MEDIUM,0,0,0
1793,5758,1,android,75,LOW,7,9,LOW,0,0,0
76,5759,1,windows,38,LOW,5,13,MEDIUM,0,0,0
1742,5760,1,android,50,LOW,6,12,MEDIUM,0,0,0
2336,5761,1,windows,280,MEDIUM,29,10,MEDIUM,0,0,0
706,5762,1,iphone,63,LOW,5,8,LOW,0,0,0
1731,5763,1,iphone,70,LOW,3,4,LOW,0,0,0
2359,5764,1,iphone,77,LOW,11,14,MEDIUM,0,0,0
1320,5765,1,iphone,191,MEDIUM,23,12,MEDIUM,0,0,0
845,5766,1,android,61,LOW,7,11,MEDIUM,0,0,0
1856,5767,1,linux,70,LOW,12,17,MEDIUM,0,0,0
1640,5768,1,iphone,69,LOW,7,10,MEDIUM,0,0,0
142,5769,1,iphone,73,LOW,9,12,MEDIUM,0,0,0
1807,5770,1,iphone,177,MEDIUM,25,14,MEDIUM,2,7.5,15
820,5771,1,android,40,LOW,4,10,MEDIUM,0,0,0
807,5772,1,linux,51,LOW,5,10,MEDIUM,0,0,0
279,5773,1,windows,59,LOW,4,7,LOW,0,0,0
1513,5774,1,mac,125,MEDIUM,11,9,LOW,0,0,0
868,5775,1,iphone,54,LOW,5,9,LOW,1,10,10
1326,5776,1,iphone,43,LOW,5,12,MEDIUM,0,0,0
1567,5777,1,android,27,LOW,4,15,MEDIUM,2,4,8
1206,5778,1,android,54,LOW,4,7,LOW,0,0,0
221,5779,1,iphone,37,LOW,2,5,LOW,1,20,20
2360,5780,1,android,36,LOW,5,14,MEDIUM,0,0,0
2149,5781,1,android,36,LOW,2,6,LOW,0,0,0
1318,5782,1,iphone,84,LOW,9,11,MEDIUM,0,0,0
2306,5783,1,android,67,LOW,5,7,LOW,1,1,1
1465,5784,1,android,184,MEDIUM,23,13,MEDIUM,0,0,0
1065,5785,1,iphone,37,LOW,5,14,MEDIUM,2,11.5,23
2231,5786,1,iphone,40,LOW,5,13,MEDIUM,0,0,0
181,5787,1,android,37,LOW,5,14,MEDIUM,0,0,0
827,5788,1,iphone,75,LOW,5,7,LOW,1,20,20
1525,5789,1,iphone,60,LOW,5,8,LOW,0,0,0
1844,5790,1,android,96,LOW,9,9,LOW,0,0,0
2139,5791,1,android,29,LOW,2,7,LOW,0,0,0
2382,5792,1,android,91,LOW,12,13,MEDIUM,0,0,0
2194,5793,1,iphone,181,MEDIUM,24,13,MEDIUM,0,0,0
657,5794,1,android,65,LOW,7,11,MEDIUM,0,0,0
835,5795,1,android,82,LOW,5,6,LOW,0,0,0
1057,5796,1,linux,72,LOW,12,17,MEDIUM,0,0,0
415,5797,1,iphone,32,LOW,2,6,LOW,0,0,0
1304,5798,1,mac,71,LOW,9,13,MEDIUM,2,11.5,23
699,5799,1,mac,63,LOW,2,3,LOW,0,0,0
757,5800,1,android,79,LOW,8,10,MEDIUM,0,0,0
222,5801,1,iphone,53,LOW,6,11,MEDIUM,0,0,0
2252,5802,1,iphone,75,LOW,7,9,LOW,0,0,0
204,5803,1,windows,33,LOW,2,6,LOW,0,0,0
1501,5804,1,android,63,LOW,4,6,LOW,0,0,0
2051,5805,1,iphone,60,LOW,8,13,MEDIUM,0,0,0
1264,5806,1,linux,81,LOW,12,15,MEDIUM,1,5,5
1026,5807,1,iphone,52,LOW,10,19,MEDIUM,1,20,20
209,5808,1,mac,56,LOW,6,11,MEDIUM,0,0,0
611,5809,1,iphone,42,LOW,1,2,LOW,0,0,0
1834,5810,1,android,35,LOW,4,11,MEDIUM,0,0,0
649,5811,1,linux,51,LOW,9,18,MEDIUM,1,1,1
1997,5812,1,android,37,LOW,5,14,MEDIUM,0,0,0
210,5813,1,android,138,MEDIUM,10,7,LOW,0,0,0
2028,5814,1,iphone,157,MEDIUM,17,11,MEDIUM,0,0,0
872,5815,1,iphone,135,MEDIUM,17,13,MEDIUM,0,0,0
1740,5816,1,windows,24,LOW,3,13,MEDIUM,0,0,0
1958,5817,1,android,40,LOW,3,8,LOW,1,20,20
2314,5818,1,windows,113,MEDIUM,11,10,MEDIUM,0,0,0
1430,5819,1,iphone,80,LOW,13,16,MEDIUM,0,0,0
1300,5820,1,android,58,LOW,1,2,LOW,2,3,6
352,5821,1,iphone,61,LOW,6,10,MEDIUM,0,0,0
283,5822,1,windows,32,LOW,7,22,HIGH,0,0,0
511,5823,1,iphone,87,LOW,10,11,MEDIUM,0,0,0
2263,5824,1,iphone,78,LOW,11,14,MEDIUM,0,0,0
1471,5825,1,iphone,95,LOW,7,7,LOW,0,0,0
2177,5826,1,iphone,227,MEDIUM,30,13,MEDIUM,0,0,0
60,5827,1,iphone,38,LOW,3,8,LOW,0,0,0
1029,5828,1,iphone,38,LOW,4,11,MEDIUM,0,0,0
1769,5829,1,iphone,177,MEDIUM,19,11,MEDIUM,0,0,0
1790,5830,1,android,82,LOW,10,12,MEDIUM,0,0,0
1664,5831,1,windows,232,MEDIUM,23,10,MEDIUM,0,0,0
2092,5832,1,iphone,66,LOW,8,12,MEDIUM,0,0,0
624,5833,1,iphone,105,MEDIUM,10,10,MEDIUM,0,0,0
178,5834,1,iphone,54,LOW,6,11,MEDIUM,1,20,20
1,5835,1,android,73,LOW,7,10,MEDIUM,0,0,0
1892,5836,1,linux,33,LOW,3,9,LOW,0,0,0
456,5837,1,android,66,LOW,12,18,MEDIUM,0,0,0
538,5838,1,android,36,LOW,5,14,MEDIUM,0,0,0
1224,5839,1,iphone,59,LOW,5,8,LOW,0,0,0
1275,5840,1,iphone,43,LOW,4,9,LOW,0,0,0
504,5841,1,iphone,33,LOW,2,6,LOW,0,0,0
1473,5842,1,iphone,76,LOW,10,13,MEDIUM,0,0,0
2178,5843,1,iphone,72,LOW,10,14,MEDIUM,0,0,0
670,5844,1,iphone,38,LOW,3,8,LOW,2,20,40
101,5845,1,mac,21,LOW,2,10,MEDIUM,0,0,0
2296,5846,1,mac,63,LOW,6,10,MEDIUM,0,0,0
1516,5847,1,windows,112,MEDIUM,10,9,LOW,0,0,0
896,5848,1,windows,52,LOW,8,15,MEDIUM,0,0,0
1429,5849,1,iphone,67,LOW,5,7,LOW,0,0,0
1367,5850,1,windows,38,LOW,7,18,MEDIUM,0,0,0
303,5851,1,android,46,LOW,5,11,MEDIUM,0,0,0
1270,5852,1,iphone,100,MEDIUM,3,3,LOW,0,0,0
844,5853,1,iphone,33,LOW,1,3,LOW,0,0,0
2197,5854,1,iphone,81,LOW,12,15,MEDIUM,0,0,0
208,5855,1,iphone,32,LOW,3,9,LOW,1,20,20
1199,5856,1,iphone,79,LOW,5,6,LOW,0,0,0
710,5857,1,android,72,LOW,7,10,MEDIUM,0,0,0
157,5858,1,iphone,32,LOW,2,6,LOW,1,10,10
2262,5859,1,android,50,LOW,2,4,LOW,0,0,0
2221,5860,1,iphone,191,MEDIUM,18,9,LOW,2,11.5,23
900,5861,1,linux,45,LOW,7,16,MEDIUM,0,0,0
2214,5862,1,windows,48,LOW,4,8,LOW,0,0,0
471,5863,1,iphone,45,LOW,6,13,MEDIUM,2,15,30
534,5864,1,android,32,LOW,4,13,MEDIUM,0,0,0
175,5865,1,windows,42,LOW,7,17,MEDIUM,0,0,0
1234,5866,1,android,46,LOW,3,7,LOW,1,10,10
1329,5867,1,android,42,LOW,4,10,MEDIUM,0,0,0
2279,5868,1,iphone,54,LOW,2,4,LOW,0,0,0
90,5869,1,android,26,LOW,1,4,LOW,0,0,0
371,5870,1,android,53,LOW,9,17,MEDIUM,1,3,3
1142,5871,1,iphone,210,MEDIUM,23,11,MEDIUM,0,0,0
1848,5872,1,android,53,LOW,7,13,MEDIUM,0,0,0
539,5873,1,windows,32,LOW,4,13,MEDIUM,0,0,0
962,5874,1,iphone,62,LOW,6,10,MEDIUM,0,0,0
81,5875,1,android,83,LOW,9,11,MEDIUM,0,0,0
2354,5876,1,iphone,64,LOW,8,13,MEDIUM,0,0,0
514,5877,1,windows,128,MEDIUM,13,10,MEDIUM,0,0,0
787,5878,1,android,66,LOW,4,6,LOW,0,0,0
1157,5879,1,android,36,LOW,1,3,LOW,0,0,0
2146,5880,1,linux,46,LOW,7,15,MEDIUM,1,2,2
390,5881,1,linux,53,LOW,5,9,LOW,0,0,0
1085,5882,1,windows,96,LOW,11,11,MEDIUM,0,0,0
810,5883,1,android,90,LOW,8,9,LOW,0,0,0
1278,5884,1,windows,97,LOW,13,13,MEDIUM,0,0,0
93,5885,1,iphone,61,LOW,7,11,MEDIUM,0,0,0
68,5886,1,android,27,LOW,1,4,LOW,0,0,0
935,5887,1,iphone,57,LOW,2,4,LOW,1,10,10
859,5888,1,android,93,LOW,13,14,MEDIUM,0,0,0
165,5889,1,iphone,49,LOW,3,6,LOW,1,5,5
1433,5890,1,android,22,LOW,2,9,LOW,0,0,0
1381,5891,1,android,91,LOW,7,8,LOW,0,0,0
1538,5892,1,iphone,24,LOW,3,13,MEDIUM,1,20,20
1544,5893,1,iphone,36,LOW,6,17,MEDIUM,2,20,40
737,5894,1,windows,41,LOW,3,7,LOW,0,0,0
1076,5895,1,iphone,35,LOW,5,14,MEDIUM,0,0,0
1628,5896,1,android,67,LOW,9,13,MEDIUM,0,0,0
576,5897,1,android,54,LOW,3,6,LOW,0,0,0
1099,5898,1,iphone,81,LOW,10,12,MEDIUM,0,0,0
2348,5899,1,android,27,LOW,5,19,MEDIUM,0,0,0
1243,5900,1,windows,66,LOW,7,11,MEDIUM,0,0,0
1028,5901,1,linux,65,LOW,5,8,LOW,0,0,0
2103,5902,1,iphone,116,MEDIUM,13,11,MEDIUM,0,0,0
630,5903,1,iphone,50,LOW,6,12,MEDIUM,0,0,0
437,5904,1,iphone,56,LOW,7,13,MEDIUM,0,0,0
1215,5905,1,android,107,MEDIUM,11,10,MEDIUM,0,0,0
62,5906,1,android,117,MEDIUM,8,7,LOW,0,0,0
1720,5907,1,iphone,20,LOW,3,15,MEDIUM,0,0,0
856,5908,1,iphone,47,LOW,9,19,MEDIUM,0,0,0
2218,5909,1,android,80,LOW,6,8,LOW,1,3,3
1162,5910,1,windows,192,MEDIUM,16,8,LOW,1,2,2
382,5911,1,iphone,34,LOW,6,18,MEDIUM,0,0,0
1645,5912,1,mac,94,LOW,4,4,LOW,0,0,0
1436,5913,1,android,49,LOW,6,12,MEDIUM,0,0,0
1821,5914,1,windows,178,MEDIUM,22,12,MEDIUM,1,1,1
801,5915,1,iphone,82,LOW,7,9,LOW,0,0,0
1038,5916,1,android,214,MEDIUM,21,10,MEDIUM,0,0,0
2030,5917,1,windows,75,LOW,9,12,MEDIUM,0,0,0
184,5918,1,iphone,69,LOW,7,10,MEDIUM,0,0,0
2133,5919,1,android,87,LOW,14,16,MEDIUM,1,3,3
1027,5920,1,iphone,52,LOW,5,10,MEDIUM,3,15,45
518,5921,1,linux,121,MEDIUM,16,13,MEDIUM,1,1,1
306,5922,1,windows,165,MEDIUM,5,3,LOW,0,0,0
2212,5923,1,android,70,LOW,7,10,MEDIUM,0,0,0
569,5924,1,iphone,120,MEDIUM,11,9,LOW,0,0,0
2032,5925,1,windows,68,LOW,5,7,LOW,0,0,0
478,5926,1,iphone,85,LOW,14,16,MEDIUM,0,0,0
1684,5927,1,iphone,69,LOW,7,10,MEDIUM,0,0,0
791,5928,1,iphone,215,MEDIUM,18,8,LOW,0,0,0
174,5929,1,android,42,LOW,5,12,MEDIUM,0,0,0
2029,5930,1,iphone,89,LOW,7,8,LOW,1,10,10
1610,5931,1,iphone,100,MEDIUM,10,10,MEDIUM,0,0,0
223,5932,1,android,70,LOW,8,11,MEDIUM,0,0,0
1104,5933,1,iphone,34,LOW,2,6,LOW,0,0,0
2384,5934,1,windows,41,LOW,5,12,MEDIUM,1,1,1
412,5935,1,iphone,54,LOW,5,9,LOW,0,0,0
1688,5936,1,iphone,92,LOW,8,9,LOW,0,0,0
2157,5937,1,android,81,LOW,7,9,LOW,0,0,0
1155,5938,1,iphone,71,LOW,16,23,HIGH,1,20,20
1071,5939,1,iphone,34,LOW,6,18,MEDIUM,0,0,0
564,5940,1,linux,34,LOW,3,9,LOW,1,1,1
97,5941,1,android,74,LOW,10,14,MEDIUM,1,1,1
1229,5942,1,android,68,LOW,7,10,MEDIUM,0,0,0
243,5943,1,linux,52,LOW,6,12,MEDIUM,0,0,0
2048,5944,1,iphone,178,MEDIUM,23,13,MEDIUM,0,0,0
253,5945,1,android,66,LOW,12,18,MEDIUM,1,3,3
846,5946,1,iphone,28,LOW,5,18,MEDIUM,0,0,0
108,5947,1,iphone,64,LOW,6,9,LOW,0,0,0
400,5948,1,iphone,56,LOW,4,7,LOW,0,0,0
1630,5949,1,iphone,71,LOW,10,14,MEDIUM,0,0,0
934,5950,1,windows,43,LOW,4,9,LOW,1,10,10
931,5951,1,windows,87,LOW,12,14,MEDIUM,0,0,0
841,5952,1,iphone,92,LOW,6,7,LOW,0,0,0
1665,5953,1,linux,104,MEDIUM,8,8,LOW,0,0,0
595,5954,1,iphone,65,LOW,7,11,MEDIUM,0,0,0
2009,5955,1,iphone,27,LOW,4,15,MEDIUM,1,5,5
1717,5956,1,iphone,44,LOW,3,7,LOW,0,0,0
1453,5957,1,iphone,31,LOW,0,0,ZERO,0,0,0
2383,5958,1,android,128,MEDIUM,13,10,MEDIUM,0,0,0
639,5959,1,mac,202,MEDIUM,25,12,MEDIUM,0,0,0
1256,5960,1,iphone,55,LOW,7,13,MEDIUM,0,0,0
1890,5961,1,android,53,LOW,10,19,MEDIUM,0,0,0
2084,5962,1,iphone,41,LOW,6,15,MEDIUM,0,0,0
244,5963,1,android,90,LOW,10,11,MEDIUM,0,0,0
2040,5964,1,android,144,MEDIUM,14,10,MEDIUM,0,0,0
123,5965,1,android,46,LOW,6,13,MEDIUM,0,0,0
160,5966,1,iphone,93,LOW,9,10,MEDIUM,0,0,0
1782,5967,1,android,36,LOW,2,6,LOW,0,0,0
2127,5968,1,linux,47,LOW,9,19,MEDIUM,0,0,0
741,5969,1,android,77,LOW,13,17,MEDIUM,0,0,0
947,5970,1,windows,69,LOW,11,16,MEDIUM,0,0,0
880,5971,1,android,70,LOW,7,10,MEDIUM,0,0,0
1815,6088,1,iphone,272,MEDIUM,24,9,LOW,1,3,3
864,6173,1,android,79,LOW,9,11,MEDIUM,1,3,3
1498,6174,1,linux,60,LOW,4,7,LOW,0,0,0
1307,6229,1,windows,52,LOW,9,17,MEDIUM,0,0,0
1457,6230,1,windows,54,LOW,4,7,LOW,1,1,1
754,6231,1,android,646,HIGH,54,8,LOW,1,3,3
2248,6344,1,linux,59,LOW,7,12,MEDIUM,0,0,0
1555,6377,1,iphone,96,LOW,16,17,MEDIUM,0,0,0
1064,6401,1,windows,35,LOW,1,3,LOW,0,0,0
662,6402,1,iphone,135,MEDIUM,15,11,MEDIUM,0,0,0
1576,6493,1,android,41,LOW,3,7,LOW,0,0,0
2285,6548,1,iphone,122,MEDIUM,12,10,MEDIUM,0,0,0
1510,6561,1,iphone,63,LOW,5,8,LOW,0,0,0
242,6585,1,iphone,23,LOW,2,9,LOW,0,0,0
1227,6586,1,android,64,LOW,6,9,LOW,0,0,0
1183,6663,1,linux,143,MEDIUM,11,8,LOW,0,0,0
2132,6836,1,iphone,35,LOW,3,9,LOW,0,0,0
1282,6837,1,android,95,LOW,11,12,MEDIUM,0,0,0
1163,6928,1,android,24,LOW,2,8,LOW,0,0,0
2389,6929,1,android,66,LOW,6,9,LOW,0,0,0
1022,6993,1,windows,8,LOW,1,13,MEDIUM,2,3,6
12,7079,1,iphone,36,LOW,2,6,LOW,1,20,20
436,7104,1,android,597,HIGH,52,9,LOW,0,0,0
1418,7105,1,linux,693,HIGH,64,9,LOW,0,0,0
2307,7132,1,iphone,701,HIGH,64,9,LOW,0,0,0
1804,7150,1,iphone,22,LOW,1,5,LOW,1,10,10
1393,7188,1,linux,15,LOW,3,20,MEDIUM,0,0,0
367,7189,1,windows,22,LOW,2,9,LOW,0,0,0
2353,7270,1,iphone,8,LOW,1,13,MEDIUM,0,0,0
1615,7352,1,android,137,MEDIUM,10,7,LOW,0,0,0
769,7371,1,android,2,LOW,0,0,ZERO,0,0,0
1613,7372,1,iphone,10,LOW,3,30,HIGH,0,0,0
1139,7401,1,android,18,LOW,2,11,MEDIUM,0,0,0
1697,7503,1,iphone,2,LOW,0,0,ZERO,0,0,0
624,7512,2,iphone,132,MEDIUM,16,12,MEDIUM,1,20,20
514,7513,2,windows,139,MEDIUM,15,11,MEDIUM,0,0,0
2103,7514,2,iphone,154,MEDIUM,15,10,MEDIUM,0,0,0
518,7515,2,linux,137,MEDIUM,14,10,MEDIUM,0,0,0
569,7516,2,iphone,122,MEDIUM,11,9,LOW,0,0,0
2353,7517,2,iphone,153,MEDIUM,10,7,LOW,0,0,0
1353,7518,2,android,52,LOW,5,10,MEDIUM,0,0,0
1175,7519,2,iphone,197,MEDIUM,18,9,LOW,0,0,0
673,7520,2,iphone,189,MEDIUM,13,7,LOW,0,0,0
2314,7521,2,windows,203,MEDIUM,22,11,MEDIUM,0,0,0
2383,7522,2,android,196,MEDIUM,23,12,MEDIUM,1,2,2
1277,7523,2,windows,71,LOW,5,7,LOW,2,5,10
411,7524,2,iphone,70,LOW,4,6,LOW,0,0,0
1143,7525,2,android,70,LOW,13,19,MEDIUM,1,3,3
1652,7526,2,android,66,LOW,7,11,MEDIUM,1,3,3
1082,7527,2,iphone,56,LOW,5,9,LOW,0,0,0
21,7528,2,android,69,LOW,6,9,LOW,0,0,0
1300,7529,2,android,62,LOW,5,8,LOW,0,0,0
900,7530,2,linux,63,LOW,6,10,MEDIUM,0,0,0
2214,7531,2,windows,53,LOW,6,11,MEDIUM,0,0,0
2279,7532,2,iphone,46,LOW,2,4,LOW,0,0,0
371,7533,2,android,55,LOW,6,11,MEDIUM,0,0,0
1027,7534,2,iphone,66,LOW,5,8,LOW,2,6,12
174,7535,2,android,53,LOW,5,9,LOW,0,0,0
937,7536,2,android,53,LOW,5,9,LOW,0,0,0
351,7537,2,windows,38,LOW,9,24,HIGH,0,0,0
1629,7538,2,iphone,70,LOW,12,17,MEDIUM,0,0,0
1924,7539,2,iphone,46,LOW,8,17,MEDIUM,0,0,0
2222,7540,2,iphone,52,LOW,11,21,HIGH,2,7.5,15
1260,7541,2,iphone,42,LOW,6,14,MEDIUM,1,3,3
222,7542,2,iphone,53,LOW,5,9,LOW,0,0,0
303,7543,2,android,46,LOW,7,15,MEDIUM,0,0,0
1848,7544,2,android,59,LOW,9,15,MEDIUM,0,0,0
390,7545,2,linux,47,LOW,7,15,MEDIUM,2,1,2
1155,7546,2,iphone,53,LOW,2,4,LOW,2,12.5,25
1623,7547,2,iphone,134,MEDIUM,11,8,LOW,0,0,0
1362,7548,2,iphone,116,MEDIUM,13,11,MEDIUM,0,0,0
1072,7549,2,iphone,144,MEDIUM,22,15,MEDIUM,2,15,30
1513,7550,2,mac,125,MEDIUM,11,9,LOW,0,0,0
1555,7551,2,iphone,158,MEDIUM,11,7,LOW,1,20,20
1658,7552,2,iphone,58,LOW,5,9,LOW,0,0,0
849,7553,2,iphone,37,LOW,5,14,MEDIUM,0,0,0
121,7554,2,android,54,LOW,5,9,LOW,0,0,0
1034,7555,2,iphone,46,LOW,5,11,MEDIUM,0,0,0
970,7556,2,iphone,49,LOW,8,16,MEDIUM,1,5,5
1874,7557,2,mac,44,LOW,2,5,LOW,0,0,0
128,7558,2,iphone,49,LOW,4,8,LOW,0,0,0
374,7559,2,android,56,LOW,7,13,MEDIUM,1,2,2
217,7560,2,mac,52,LOW,5,10,MEDIUM,0,0,0
1205,7561,2,android,42,LOW,2,5,LOW,0,0,0
1958,7562,2,android,46,LOW,3,7,LOW,1,20,20
283,7563,2,windows,48,LOW,7,15,MEDIUM,0,0,0
538,7564,2,android,39,LOW,5,13,MEDIUM,0,0,0
1275,7565,2,iphone,51,LOW,5,10,MEDIUM,0,0,0
1076,7566,2,iphone,39,LOW,4,10,MEDIUM,0,0,0
934,7567,2,windows,44,LOW,6,14,MEDIUM,0,0,0
1064,7568,2,windows,39,LOW,2,5,LOW,1,1,1
453,7569,2,android,134,MEDIUM,19,14,MEDIUM,0,0,0
1145,7570,2,windows,129,MEDIUM,6,5,LOW,0,0,0
355,7571,2,iphone,137,MEDIUM,14,10,MEDIUM,2,5,10
